22 	 2355
23 	 2167
24 	 2055
25 	 1948
26 	 1853
27 	 1765
28 	 1679
29 	 1605
30 	 1527
31 	 1460
32 	 1398
33 	 1336
34 	 1281
35 	 1230
36 	 1182
37 	 1137
38 	 1100
39 	 1072
40 	 1052
41 	 1034
42 	 1033
43 	 1016
44 	 1000
45 	 984
46 	 970
47 	 958
48 	 942
49 	 930
50 	 919
51 	 910
52 	 901
53 	 891
54 	 882
55 	 873
56 	 865
57 	 853
58 	 843
59 	 833
60 	 829
61 	 820
62 	 811
63 	 805
64 	 797
65 	 790
66 	 782
67 	 776
68 	 770
69 	 764
70 	 758
71 	 752
72 	 747
73 	 739
74 	 733
75 	 725
76 	 719
77 	 713
78 	 708
79 	 704
80 	 698
81 	 693
82 	 691
83 	 683
84 	 676
85 	 668
86 	 664
87 	 658
88 	 650
89 	 645
90 	 640
91 	 632
92 	 627
93 	 622
94 	 618
95 	 612
96 	 608
97 	 603
98 	 598
99 	 592
100 	 587
101 	 582
102 	 578
103 	 574
104 	 568
105 	 563
106 	 557
107 	 550
108 	 545
109 	 538
110 	 533
111 	 525
112 	 517
113 	 512
114 	 506
115 	 499
116 	 493
117 	 490
118 	 484
119 	 477
120 	 473
121 	 467
122 	 461
123 	 454
124 	 450
125 	 444
126 	 435
127 	 428
128 	 421
129 	 419
130 	 413
131 	 409
132 	 403
133 	 397
134 	 390
135 	 386
136 	 381
137 	 377
138 	 372
139 	 365
140 	 360
141 	 353
142 	 349
143 	 344
144 	 336
145 	 326
146 	 321
147 	 318
148 	 314
149 	 312
150 	 308
151 	 302
152 	 298
153 	 291
154 	 288
155 	 284
156 	 283
157 	 280
158 	 277
159 	 275
160 	 273
161 	 269
162 	 267
163 	 265
164 	 264
165 	 260
166 	 259
167 	 256
168 	 253
169 	 250
170 	 246
171 	 243
172 	 241
173 	 239
174 	 236
175 	 233
176 	 230
177 	 228
178 	 225
179 	 221
180 	 219
181 	 217
182 	 215
183 	 213
184 	 211
185 	 209
186 	 208
187 	 206
188 	 204
189 	 203
190 	 202
191 	 201
192 	 200
193 	 199
194 	 198
195 	 197
196 	 196
